# Region type : patch Xmax
# Faces         : 120
# Area          : 4.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0749543       	6.00000000e-04
0.164356        	6.00000000e-04
0.25952         	6.00000000e-04
0.359049        	6.00000000e-04
0.461731        	6.00000000e-04
0.566655        	6.00000000e-04
0.674149        	6.00000000e-04
0.783436        	6.00000000e-04
0.894226        	6.00000000e-04
1.00563         	6.00000000e-04
1.11875         	6.00000000e-04
1.23279         	6.00000000e-04
1.34764         	6.00000000e-04
1.46306         	6.00000000e-04
1.57907         	6.00000000e-04
1.69585         	6.00000000e-04
1.81315         	6.00000000e-04
1.93066         	6.00000000e-04
2.04846         	6.00000000e-04
2.16697         	6.00000000e-04
2.28585         	6.00000000e-04
2.40482         	6.00000000e-04
2.5239          	6.00000000e-04
2.64353         	6.00000000e-04
2.76324         	6.00000000e-04
2.88342         	6.00000000e-04
3.00361         	6.00000000e-04
3.12397         	6.00000000e-04
3.24449         	6.00000000e-04
3.36502         	6.00000000e-04
3.48554         	6.00000000e-04
3.60628         	6.00000000e-04
3.72705         	6.00000000e-04
3.84783         	6.00000000e-04
3.9686          	6.00000000e-04
4.08981         	6.00000000e-04
4.21117         	6.00000000e-04
4.33252         	6.00000000e-04
4.45388         	6.00000000e-04
4.57524         	6.00000000e-04
4.6966          	6.00000000e-04
4.81796         	6.00000000e-04
4.93932         	6.00000000e-04
5.06083         	6.00000000e-04
5.18248         	6.00000000e-04
5.30414         	6.00000000e-04
5.42579         	6.00000000e-04
5.54756         	6.00000000e-04
5.66951         	6.00000000e-04
5.79146         	6.00000000e-04
5.91341         	6.00000000e-04
6.03537         	6.00000000e-04
6.15732         	6.00000000e-04
6.27927         	6.00000000e-04
6.40122         	6.00000000e-04
6.52317         	6.00000000e-04
6.64512         	6.00000000e-04
6.76707         	6.00000000e-04
6.88902         	6.00000000e-04
7.01098         	6.00000000e-04
7.13293         	6.00000000e-04
7.25488         	6.00000000e-04
7.37683         	6.00000000e-04
7.49878         	6.00000000e-04
7.62103         	6.00000000e-04
7.74328         	6.00000000e-04
7.86553         	6.00000000e-04
7.98778         	6.00000000e-04
8.10976         	6.00000000e-04
8.23171         	6.00000000e-04
8.35366         	6.00000000e-04
8.47561         	6.00000000e-04
8.59732         	6.00000000e-04
8.71877         	6.00000000e-04
8.83999         	6.00000000e-04
8.96121         	6.00000000e-04
9.08177         	6.00000000e-04
9.20148         	6.00000000e-04
9.32059         	6.00000000e-04
9.43941         	6.00000000e-04
9.55755         	6.00000000e-04
9.67441         	6.00000000e-04
9.79073         	6.00000000e-04
9.9066          	6.00000000e-04
10.0218         	6.00000000e-04
10.1365         	6.00000000e-04
10.2511         	6.00000000e-04
10.3649         	6.00000000e-04
10.4784         	6.00000000e-04
10.5918         	6.00000000e-04
10.7046         	6.00000000e-04
10.8165         	6.00000000e-04
10.9284         	6.00000000e-04
11.0401         	6.00000000e-04
11.1505         	6.00000000e-04
11.2606         	6.00000000e-04
11.3711         	6.00000000e-04
11.4804         	6.00000000e-04
11.5888         	6.00000000e-04
11.698          	6.00000000e-04
11.8057         	6.00000000e-04
11.9125         	6.00000000e-04
12.0195         	6.00000000e-04
12.1264         	6.00000000e-04
12.2312         	6.00000000e-04
12.3368         	6.00000000e-04
12.4432         	6.00000000e-04
12.5474         	6.00000000e-04
12.651          	6.00000000e-04
12.7566         	6.00000000e-04
12.8593         	6.00000000e-04
12.9607         	6.00000000e-04
13.0652         	6.00000000e-04
13.1677         	6.00000000e-04
13.268          	6.00000000e-04
13.3702         	6.00000000e-04
13.4736         	6.00000000e-04
13.5735         	6.00000000e-04
13.6737         	6.00000000e-04
13.7771         	6.00000000e-04
13.8769         	6.00000000e-04
13.9754         	6.00000000e-04
14.0772         	6.00000000e-04
14.1781         	6.00000000e-04
14.2762         	6.00000000e-04
14.3763         	6.00000000e-04
14.4788         	6.00000000e-04
14.5774         	6.00000000e-04
14.676          	6.00000000e-04
14.7784         	6.00000000e-04
14.8778         	6.00000000e-04
14.9756         	6.00000000e-04
15.0761         	6.00000000e-04
15.1773         	6.00000000e-04
15.275          	6.00000000e-04
15.374          	6.00000000e-04
15.4765         	6.00000000e-04
15.5754         	6.00000000e-04
15.6732         	6.00000000e-04
15.775          	6.00000000e-04
15.8749         	6.00000000e-04
15.9726         	6.00000000e-04
16.0723         	6.00000000e-04
16.1742         	6.00000000e-04
16.2719         	6.00000000e-04
16.3702         	6.00000000e-04
16.4724         	6.00000000e-04
16.5718         	6.00000000e-04
16.6692         	6.00000000e-04
16.7702         	6.00000000e-04
16.871          	6.00000000e-04
16.9687         	6.00000000e-04
17.0678         	6.00000000e-04
17.17           	6.00000000e-04
17.2681         	6.00000000e-04
17.3659         	6.00000000e-04
17.4678         	6.00000000e-04
17.5682         	6.00000000e-04
17.6656         	6.00000000e-04
17.7656         	6.00000000e-04
17.8672         	6.00000000e-04
17.9649         	6.00000000e-04
18.0633         	6.00000000e-04
18.1656         	6.00000000e-04
18.2643         	6.00000000e-04
18.3618         	6.00000000e-04
18.4628         	6.00000000e-04
18.5637         	6.00000000e-04
18.6611         	6.00000000e-04
18.7603         	6.00000000e-04
18.8624         	6.00000000e-04
18.9608         	6.00000000e-04
19.059          	6.00000000e-04
19.161          	6.00000000e-04
19.2604         	6.00000000e-04
19.3578         	6.00000000e-04
19.4579         	6.00000000e-04
19.5592         	6.00000000e-04
19.6568         	6.00000000e-04
19.7553         	6.00000000e-04
19.8576         	6.00000000e-04
