# Region type : patch Xmin
# Faces         : 120
# Area          : 4.00000000e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000828022     	-6.00000000e-05
0.00173874      	-6.00000000e-05
0.00270067      	-6.00000000e-05
0.00370304      	-6.00000000e-05
0.00473621      	-6.00000000e-05
0.00579421      	-6.00000000e-05
0.00687275      	-6.00000000e-05
0.00796869      	-6.00000000e-05
0.00907775      	-6.00000000e-05
0.0101916       	-6.00000000e-05
0.0113247       	-6.00000000e-05
0.0124667       	-6.00000000e-05
0.0136164       	-6.00000000e-05
0.014773        	-6.00000000e-05
0.0159359       	-6.00000000e-05
0.0171045       	-6.00000000e-05
0.0182768       	-6.00000000e-05
0.0194563       	-6.00000000e-05
0.0206388       	-6.00000000e-05
0.0218245       	-6.00000000e-05
0.0230134       	-6.00000000e-05
0.024205        	-6.00000000e-05
0.0253993       	-6.00000000e-05
0.0265957       	-6.00000000e-05
0.0277944       	-6.00000000e-05
0.0289931       	-6.00000000e-05
0.0301925       	-6.00000000e-05
0.0313963       	-6.00000000e-05
0.0326013       	-6.00000000e-05
0.0338082       	-6.00000000e-05
0.0350152       	-6.00000000e-05
0.0362248       	-6.00000000e-05
0.0374348       	-6.00000000e-05
0.0386448       	-6.00000000e-05
0.0398548       	-6.00000000e-05
0.0410667       	-6.00000000e-05
0.0422801       	-6.00000000e-05
0.0434939       	-6.00000000e-05
0.0447077       	-6.00000000e-05
0.0459216       	-6.00000000e-05
0.0471354       	-6.00000000e-05
0.0483492       	-6.00000000e-05
0.049563        	-6.00000000e-05
0.0507786       	-6.00000000e-05
0.0519951       	-6.00000000e-05
0.0532134       	-6.00000000e-05
0.0544318       	-6.00000000e-05
0.0556502       	-6.00000000e-05
0.0568686       	-6.00000000e-05
0.0580871       	-6.00000000e-05
0.0593055       	-6.00000000e-05
0.0605244       	-6.00000000e-05
0.0617439       	-6.00000000e-05
0.0629634       	-6.00000000e-05
0.0641829       	-6.00000000e-05
0.0654024       	-6.00000000e-05
0.066622        	-6.00000000e-05
0.0678415       	-6.00000000e-05
0.069061        	-6.00000000e-05
0.0702808       	-6.00000000e-05
0.0715018       	-6.00000000e-05
0.0727228       	-6.00000000e-05
0.0739438       	-6.00000000e-05
0.0751648       	-6.00000000e-05
0.0763858       	-6.00000000e-05
0.0776068       	-6.00000000e-05
0.0788278       	-6.00000000e-05
0.0800488       	-6.00000000e-05
0.0812686       	-6.00000000e-05
0.0824881       	-6.00000000e-05
0.0837067       	-6.00000000e-05
0.084924        	-6.00000000e-05
0.08614         	-6.00000000e-05
0.0873538       	-6.00000000e-05
0.0885625       	-6.00000000e-05
0.0897705       	-6.00000000e-05
0.0909724       	-6.00000000e-05
0.0921674       	-6.00000000e-05
0.0933543       	-6.00000000e-05
0.0945336       	-6.00000000e-05
0.0957074       	-6.00000000e-05
0.0968741       	-6.00000000e-05
0.0980328       	-6.00000000e-05
0.09919         	-6.00000000e-05
0.100345        	-6.00000000e-05
0.101488        	-6.00000000e-05
0.102627        	-6.00000000e-05
0.103765        	-6.00000000e-05
0.104898        	-6.00000000e-05
0.106023        	-6.00000000e-05
0.107147        	-6.00000000e-05
0.108271        	-6.00000000e-05
0.109387        	-6.00000000e-05
0.110499        	-6.00000000e-05
0.111611        	-6.00000000e-05
0.112708        	-6.00000000e-05
0.113799        	-6.00000000e-05
0.114897        	-6.00000000e-05
0.115981        	-6.00000000e-05
0.117053        	-6.00000000e-05
0.118135        	-6.00000000e-05
0.11921         	-6.00000000e-05
0.120274        	-6.00000000e-05
0.121337        	-6.00000000e-05
0.122405        	-6.00000000e-05
0.123446        	-6.00000000e-05
0.124489        	-6.00000000e-05
0.12555         	-6.00000000e-05
0.126582        	-6.00000000e-05
0.127605        	-6.00000000e-05
0.128654        	-6.00000000e-05
0.129684        	-6.00000000e-05
0.130695        	-6.00000000e-05
0.131724        	-6.00000000e-05
0.132757        	-6.00000000e-05
0.133756        	-6.00000000e-05
0.134763        	-6.00000000e-05
0.135799        	-6.00000000e-05
0.136798        	-6.00000000e-05
0.137789        	-6.00000000e-05
0.138816        	-6.00000000e-05
0.139823        	-6.00000000e-05
0.140805        	-6.00000000e-05
0.141811        	-6.00000000e-05
0.142834        	-6.00000000e-05
0.143817        	-6.00000000e-05
0.144805        	-6.00000000e-05
0.145831        	-6.00000000e-05
0.146823        	-6.00000000e-05
0.147801        	-6.00000000e-05
0.148814        	-6.00000000e-05
0.149823        	-6.00000000e-05
0.150799        	-6.00000000e-05
0.151793        	-6.00000000e-05
0.152815        	-6.00000000e-05
0.153797        	-6.00000000e-05
0.154777        	-6.00000000e-05
0.155798        	-6.00000000e-05
0.156794        	-6.00000000e-05
0.157768        	-6.00000000e-05
0.158769        	-6.00000000e-05
0.159788        	-6.00000000e-05
0.160769        	-6.00000000e-05
0.161755        	-6.00000000e-05
0.162778        	-6.00000000e-05
0.163764        	-6.00000000e-05
0.16474         	-6.00000000e-05
0.165753        	-6.00000000e-05
0.166757        	-6.00000000e-05
0.16773         	-6.00000000e-05
0.168724        	-6.00000000e-05
0.169747        	-6.00000000e-05
0.170732        	-6.00000000e-05
0.171712        	-6.00000000e-05
0.172732        	-6.00000000e-05
0.173726        	-6.00000000e-05
0.174699        	-6.00000000e-05
0.175703        	-6.00000000e-05
0.176716        	-6.00000000e-05
0.177691        	-6.00000000e-05
0.178677        	-6.00000000e-05
0.1797          	-6.00000000e-05
0.180685        	-6.00000000e-05
0.181661        	-6.00000000e-05
0.182676        	-6.00000000e-05
0.183678        	-6.00000000e-05
0.184651        	-6.00000000e-05
0.185646        	-6.00000000e-05
0.186666        	-6.00000000e-05
0.187644        	-6.00000000e-05
0.188625        	-6.00000000e-05
0.189646        	-6.00000000e-05
0.19064         	-6.00000000e-05
0.191613        	-6.00000000e-05
0.192618        	-6.00000000e-05
0.19363         	-6.00000000e-05
0.194605        	-6.00000000e-05
0.195592        	-6.00000000e-05
0.196615        	-6.00000000e-05
0.197599        	-6.00000000e-05
0.198575        	-6.00000000e-05
0.199591        	-6.00000000e-05
0.200594        	-6.00000000e-05
0.201567        	-6.00000000e-05
0.202563        	-6.00000000e-05
0.203582        	-6.00000000e-05
0.20456         	-6.00000000e-05
0.205542        	-6.00000000e-05
0.206563        	-6.00000000e-05
0.207554        	-6.00000000e-05
0.208528        	-6.00000000e-05
0.209534        	-6.00000000e-05
0.210548        	-6.00000000e-05
0.211523        	-6.00000000e-05
0.212511        	-6.00000000e-05
0.213534        	-6.00000000e-05
0.214517        	-6.00000000e-05
0.215494        	-6.00000000e-05
0.21651         	-6.00000000e-05
0.217509        	-6.00000000e-05
0.218483        	-6.00000000e-05
0.21948         	-6.00000000e-05
0.220503        	-6.00000000e-05
0.22148         	-6.00000000e-05
0.222462        	-6.00000000e-05
0.223484        	-6.00000000e-05
0.224474        	-6.00000000e-05
0.225448        	-6.00000000e-05
0.226456        	-6.00000000e-05
0.227465        	-6.00000000e-05
0.228439        	-6.00000000e-05
0.229428        	-6.00000000e-05
0.230446        	-6.00000000e-05
0.231429        	-6.00000000e-05
0.232406        	-6.00000000e-05
0.233424        	-6.00000000e-05
0.234422        	-6.00000000e-05
0.235395        	-6.00000000e-05
0.236393        	-6.00000000e-05
0.237411        	-6.00000000e-05
0.238388        	-6.00000000e-05
0.23937         	-6.00000000e-05
0.240389        	-6.00000000e-05
0.241378        	-6.00000000e-05
0.242353        	-6.00000000e-05
0.243362        	-6.00000000e-05
0.24437         	-6.00000000e-05
0.245344        	-6.00000000e-05
0.246334        	-6.00000000e-05
0.247356        	-6.00000000e-05
0.248337        	-6.00000000e-05
0.249315        	-6.00000000e-05
0.250331        	-6.00000000e-05
0.251328        	-6.00000000e-05
0.252301        	-6.00000000e-05
0.2533          	-6.00000000e-05
0.254317        	-6.00000000e-05
0.255293        	-6.00000000e-05
0.256277        	-6.00000000e-05
0.257299        	-6.00000000e-05
0.258287        	-6.00000000e-05
0.259263        	-6.00000000e-05
0.260268        	-6.00000000e-05
0.261275        	-6.00000000e-05
0.262249        	-6.00000000e-05
0.26324         	-6.00000000e-05
0.264262        	-6.00000000e-05
0.265242        	-6.00000000e-05
0.266221        	-6.00000000e-05
0.26724         	-6.00000000e-05
0.268235        	-6.00000000e-05
0.269208        	-6.00000000e-05
0.270204        	-6.00000000e-05
0.27122         	-6.00000000e-05
0.272196        	-6.00000000e-05
0.273181        	-6.00000000e-05
0.274203        	-6.00000000e-05
0.27519         	-6.00000000e-05
0.276165        	-6.00000000e-05
0.277177        	-6.00000000e-05
0.278182        	-6.00000000e-05
0.279155        	-6.00000000e-05
0.280142        	-6.00000000e-05
0.281163        	-6.00000000e-05
0.282143        	-6.00000000e-05
