# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	hole	1.059859e-02	2.158573e-01	1.322294e-01
0.02          	hole	1.110656e-02	2.065228e-01	1.245197e-01
0.03          	hole	1.018227e-02	2.018818e-01	1.203923e-01
0.04          	hole	1.257247e-02	1.990015e-01	1.177382e-01
0.05          	hole	1.098963e-02	1.970519e-01	1.159141e-01
0.06          	hole	9.989299e-03	1.955337e-01	1.145073e-01
0.07          	hole	9.350048e-03	1.943233e-01	1.134325e-01
0.08          	hole	8.968394e-03	1.933565e-01	1.125984e-01
0.09          	hole	8.720188e-03	1.925956e-01	1.119510e-01
0.1           	hole	8.569041e-03	1.920060e-01	1.114424e-01
0.11          	hole	8.492322e-03	1.915492e-01	1.110449e-01
0.12          	hole	8.477130e-03	1.911885e-01	1.107287e-01
0.13          	hole	8.500168e-03	1.908957e-01	1.104717e-01
0.14          	hole	8.551593e-03	1.906445e-01	1.102598e-01
0.15          	hole	8.610667e-03	1.904209e-01	1.100803e-01
0.16          	hole	8.670040e-03	1.902252e-01	1.099279e-01
0.17          	hole	8.725824e-03	1.900543e-01	1.097969e-01
0.18          	hole	8.780155e-03	1.899063e-01	1.096844e-01
0.19          	hole	8.832189e-03	1.897784e-01	1.095875e-01
0.2           	hole	8.881057e-03	1.896677e-01	1.095039e-01
0.21          	hole	8.926365e-03	1.895717e-01	1.094316e-01
0.22          	hole	8.968055e-03	1.894883e-01	1.093689e-01
0.23          	hole	9.006190e-03	1.894156e-01	1.093145e-01
0.24          	hole	9.041363e-03	1.893522e-01	1.092670e-01
0.25          	hole	9.073296e-03	1.892967e-01	1.092255e-01
0.26          	hole	9.102408e-03	1.892481e-01	1.091893e-01
0.27          	hole	9.128284e-03	1.892054e-01	1.091575e-01
0.28          	hole	9.151872e-03	1.891678e-01	1.091296e-01
0.29          	hole	9.173460e-03	1.891346e-01	1.091050e-01
0.3           	hole	9.192739e-03	1.891053e-01	1.090833e-01
