# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
43            	smoothSolver	1.357360e-03	3.961280e-05	1	8.777740e-04	2.510020e-05	1	false	GAMG	1.745870e-02	1.579490e-03	2	true
44            	smoothSolver	1.341370e-03	3.914510e-05	1	8.687690e-04	2.486790e-05	1	false	GAMG	1.643890e-02	1.575290e-03	2	true
45            	smoothSolver	1.326440e-03	3.870670e-05	1	8.610470e-04	2.468330e-05	1	false	GAMG	1.578450e-02	1.374690e-03	2	true
46            	smoothSolver	1.309780e-03	3.822260e-05	1	8.523360e-04	2.446060e-05	1	false	GAMG	1.492770e-02	1.255090e-03	2	true
47            	smoothSolver	1.295910e-03	3.781550e-05	1	8.444150e-04	2.426610e-05	1	false	GAMG	1.429880e-02	1.164460e-03	2	true
48            	smoothSolver	1.280650e-03	3.737440e-05	1	8.354560e-04	2.403740e-05	1	false	GAMG	1.362310e-02	1.111790e-03	2	true
49            	smoothSolver	1.266310e-03	3.695850e-05	1	8.279010e-04	2.384690e-05	1	false	GAMG	1.317890e-02	1.064830e-03	2	true
50            	smoothSolver	1.250990e-03	3.651920e-05	1	8.196960e-04	2.364610e-05	1	false	GAMG	1.264950e-02	1.037320e-03	2	true
51            	smoothSolver	1.235930e-03	3.609090e-05	1	8.128860e-04	2.348340e-05	1	false	GAMG	1.232670e-02	1.038050e-03	2	true
52            	smoothSolver	1.220200e-03	3.564680e-05	1	8.058100e-04	2.331550e-05	1	false	GAMG	1.192000e-02	1.016800e-03	2	true
53            	smoothSolver	1.205120e-03	3.522210e-05	1	7.996960e-04	2.317760e-05	1	false	GAMG	1.166800e-02	9.637210e-04	2	true
54            	smoothSolver	1.190340e-03	3.480380e-05	1	7.934170e-04	2.303710e-05	1	false	GAMG	1.132570e-02	9.256970e-04	2	true
55            	smoothSolver	1.177000e-03	3.442420e-05	1	7.877760e-04	2.292310e-05	1	false	GAMG	1.110470e-02	8.740430e-04	2	true
56            	smoothSolver	1.163930e-03	3.405020e-05	1	7.820690e-04	2.280390e-05	1	false	GAMG	1.084950e-02	8.376630e-04	2	true
57            	smoothSolver	1.151200e-03	3.368590e-05	1	7.770000e-04	2.269290e-05	1	false	GAMG	1.066450e-02	8.015610e-04	2	true
58            	smoothSolver	1.138570e-03	3.332440e-05	1	7.720710e-04	2.257720e-05	1	false	GAMG	1.049480e-02	7.950160e-04	2	true
59            	smoothSolver	1.126120e-03	3.296890e-05	1	7.676580e-04	2.247450e-05	1	false	GAMG	1.037800e-02	8.040270e-04	2	true
60            	smoothSolver	1.113690e-03	3.261420e-05	1	7.634110e-04	2.237270e-05	1	false	GAMG	1.029300e-02	8.067600e-04	2	true
61            	smoothSolver	1.101370e-03	3.226230e-05	1	7.595860e-04	2.227790e-05	1	false	GAMG	1.021640e-02	7.981070e-04	2	true
62            	smoothSolver	1.089180e-03	3.191430e-05	1	7.558380e-04	2.218580e-05	1	false	GAMG	1.014510e-02	7.807400e-04	2	true
63            	smoothSolver	1.077500e-03	3.158410e-05	1	7.523020e-04	2.210920e-05	1	false	GAMG	1.006100e-02	7.609050e-04	2	true
64            	smoothSolver	1.066100e-03	3.126560e-05	1	7.490090e-04	2.205580e-05	1	false	GAMG	9.978900e-03	7.445410e-04	2	true
65            	smoothSolver	1.054780e-03	3.095140e-05	1	7.461490e-04	2.200810e-05	1	false	GAMG	9.901650e-03	7.337520e-04	2	true
66            	smoothSolver	1.043560e-03	3.065820e-05	1	7.435370e-04	2.196560e-05	1	false	GAMG	9.828020e-03	7.357030e-04	2	true
