# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1.19332e-06   	smoothSolver	1.000000e+00	9.319100e-06	24	1.000000e+00	8.157500e-06	25	false	GAMG	1.000000e+00	3.887380e-03	8	true
2.11193e-06   	smoothSolver	6.269490e-02	8.854870e-06	11	2.769140e-01	9.814060e-06	14	false	GAMG	3.475500e-01	2.584940e-03	7	true
2.91498e-06   	smoothSolver	2.666630e-02	7.222050e-06	9	9.724090e-02	6.020340e-06	12	false	GAMG	5.890790e-01	2.949680e-03	6	true
3.75892e-06   	smoothSolver	7.657230e-03	8.095480e-06	8	2.993880e-02	6.578810e-06	9	false	GAMG	7.250530e-01	6.987590e-03	4	true
4.62952e-06   	smoothSolver	1.518590e-03	7.751560e-06	7	7.588630e-03	6.606840e-06	10	false	GAMG	9.212050e-01	5.802670e-03	3	true
5.51569e-06   	smoothSolver	2.252270e-03	8.583850e-06	7	1.010590e-02	5.414440e-06	8	false	GAMG	8.210700e-01	8.106480e-03	2	true
6.41476e-06   	smoothSolver	1.384830e-03	9.918100e-06	6	7.490780e-03	7.514200e-06	9	false	GAMG	8.512930e-01	7.795680e-03	2	true
7.3305e-06    	smoothSolver	1.389440e-03	6.083180e-06	7	7.425790e-03	6.837930e-06	8	false	GAMG	7.682740e-01	5.735190e-03	3	true
8.26536e-06   	smoothSolver	1.135200e-03	8.370710e-06	6	6.573190e-03	6.108070e-06	9	false	GAMG	7.406860e-01	3.407900e-03	3	true
9.21833e-06   	smoothSolver	1.054300e-03	8.923770e-06	6	6.203230e-03	7.894750e-06	8	false	GAMG	6.680170e-01	5.665080e-03	2	true
1.01825e-05   	smoothSolver	9.402190e-04	7.394150e-06	6	5.813790e-03	9.502130e-06	8	false	GAMG	6.093060e-01	3.738280e-03	3	true
1.11583e-05   	smoothSolver	8.829980e-04	7.429030e-06	6	5.566470e-03	7.789890e-06	8	false	GAMG	5.338130e-01	3.293260e-03	3	true
1.21438e-05   	smoothSolver	8.119910e-04	6.501050e-06	6	5.328840e-03	8.426450e-06	8	false	GAMG	4.561760e-01	2.804190e-03	3	true
1.31415e-05   	smoothSolver	7.675830e-04	6.451330e-06	6	5.102150e-03	7.589980e-06	8	false	GAMG	3.939810e-01	2.546140e-03	3	true
1.41516e-05   	smoothSolver	7.218790e-04	5.923100e-06	6	4.958270e-03	7.923960e-06	8	false	GAMG	3.119050e-01	2.731770e-03	3	true
1.51744e-05   	smoothSolver	6.875180e-04	5.832780e-06	6	4.772170e-03	7.464000e-06	8	false	GAMG	2.672940e-01	2.476800e-03	3	true
1.62082e-05   	smoothSolver	6.524600e-04	9.444650e-06	5	4.661830e-03	7.576600e-06	8	false	GAMG	2.062340e-01	1.910820e-03	4	true
1.72553e-05   	smoothSolver	6.215560e-04	9.306290e-06	5	4.482000e-03	7.300230e-06	8	false	GAMG	1.773270e-01	1.438140e-03	4	true
1.83117e-05   	smoothSolver	5.955890e-04	8.767740e-06	5	4.390860e-03	7.294890e-06	8	false	GAMG	1.371430e-01	7.570120e-04	5	true
1.9375e-05    	smoothSolver	5.723000e-04	8.424930e-06	5	4.262230e-03	6.954170e-06	8	false	GAMG	1.183310e-01	7.384570e-04	5	true
2.04454e-05   	smoothSolver	5.492690e-04	7.986330e-06	5	4.163460e-03	6.860240e-06	8	false	GAMG	9.335150e-02	6.737380e-04	5	true
2.15255e-05   	smoothSolver	5.311250e-04	7.749960e-06	5	4.070430e-03	6.687150e-06	8	false	GAMG	8.536240e-02	6.563680e-04	5	true
2.26129e-05   	smoothSolver	5.123000e-04	7.408890e-06	5	3.989020e-03	6.592030e-06	8	false	GAMG	6.831240e-02	5.966170e-04	5	true
2.37079e-05   	smoothSolver	4.961220e-04	7.154630e-06	5	3.906320e-03	6.412330e-06	8	false	GAMG	6.690290e-02	5.849160e-04	5	true
2.4813e-05    	smoothSolver	4.819500e-04	6.935090e-06	5	3.844810e-03	6.388120e-06	8	false	GAMG	5.587770e-02	5.486900e-04	5	true
2.59258e-05   	smoothSolver	4.683460e-04	6.716980e-06	5	3.773470e-03	6.251990e-06	8	false	GAMG	5.696260e-02	5.394010e-04	5	true
2.70465e-05   	smoothSolver	4.555280e-04	6.494430e-06	5	3.712190e-03	6.175110e-06	8	false	GAMG	4.971500e-02	2.418900e-04	6	true
2.81753e-05   	smoothSolver	4.440490e-04	6.310980e-06	5	3.653470e-03	6.070750e-06	8	false	GAMG	4.962690e-02	2.357500e-04	6	true
2.93122e-05   	smoothSolver	4.330580e-04	6.129630e-06	5	3.601530e-03	6.006870e-06	8	false	GAMG	4.387170e-02	2.182200e-04	6	true
3.04575e-05   	smoothSolver	4.230590e-04	5.973750e-06	5	3.551500e-03	5.927990e-06	8	false	GAMG	4.356500e-02	2.096790e-04	6	true
3.16111e-05   	smoothSolver	4.136560e-04	5.821840e-06	5	3.506060e-03	9.907530e-06	7	false	GAMG	3.885250e-02	2.077930e-04	6	true
3.27705e-05   	smoothSolver	4.037550e-04	9.822550e-06	4	3.451470e-03	9.723150e-06	7	false	GAMG	5.702680e-02	3.615180e-04	6	true
3.39357e-05   	smoothSolver	3.894670e-04	9.621340e-06	4	3.348270e-03	9.541750e-06	7	false	GAMG	4.731110e-02	4.126410e-04	5	true
3.51067e-05   	smoothSolver	3.830930e-04	9.340170e-06	4	3.319560e-03	9.381430e-06	7	false	GAMG	4.710500e-02	2.207530e-04	6	true
3.62836e-05   	smoothSolver	3.754250e-04	9.097750e-06	4	3.276500e-03	9.224170e-06	7	false	GAMG	4.434940e-02	4.397040e-04	5	true
3.74666e-05   	smoothSolver	3.683830e-04	8.867070e-06	4	3.238710e-03	9.087680e-06	7	false	GAMG	4.362010e-02	4.212330e-04	5	true
3.86556e-05   	smoothSolver	3.618090e-04	8.652470e-06	4	3.203850e-03	8.953780e-06	7	false	GAMG	4.176070e-02	4.055130e-04	5	true
3.98508e-05   	smoothSolver	3.555880e-04	8.452590e-06	4	3.170400e-03	8.831380e-06	7	false	GAMG	4.096960e-02	3.912630e-04	5	true
4.10491e-05   	smoothSolver	3.488090e-04	8.201930e-06	4	3.130530e-03	8.624060e-06	7	false	GAMG	3.905540e-02	3.721930e-04	5	true
4.22537e-05   	smoothSolver	3.433660e-04	8.024980e-06	4	3.101140e-03	8.517890e-06	7	false	GAMG	3.826420e-02	3.642330e-04	5	true
4.34647e-05   	smoothSolver	3.381380e-04	7.858970e-06	4	3.072300e-03	8.419940e-06	7	false	GAMG	3.700930e-02	3.507390e-04	5	true
4.46789e-05   	smoothSolver	3.323640e-04	7.642340e-06	4	3.037140e-03	8.239960e-06	7	false	GAMG	3.599760e-02	3.350030e-04	5	true
4.58996e-05   	smoothSolver	3.278520e-04	7.494120e-06	4	3.012380e-03	8.157020e-06	7	false	GAMG	3.497030e-02	3.282520e-04	5	true
4.71269e-05   	smoothSolver	3.234780e-04	7.355160e-06	4	2.988370e-03	8.080500e-06	7	false	GAMG	3.436790e-02	3.171780e-04	5	true
4.83575e-05   	smoothSolver	3.184770e-04	7.166230e-06	4	2.958180e-03	7.920700e-06	7	false	GAMG	3.326760e-02	3.029010e-04	5	true
4.95949e-05   	smoothSolver	3.146270e-04	7.041830e-06	4	2.937820e-03	7.854280e-06	7	false	GAMG	3.238280e-02	2.980300e-04	5	true
5.08357e-05   	smoothSolver	3.100260e-04	6.870320e-06	4	2.909450e-03	7.706450e-06	7	false	GAMG	3.138840e-02	2.838480e-04	5	true
5.20799e-05   	smoothSolver	3.057200e-04	6.707060e-06	4	2.883010e-03	7.564630e-06	7	false	GAMG	3.060790e-02	2.756420e-04	5	true
5.33311e-05   	smoothSolver	3.024190e-04	6.605380e-06	4	2.865750e-03	7.514300e-06	7	false	GAMG	2.991770e-02	2.706380e-04	5	true
5.45857e-05   	smoothSolver	2.983880e-04	6.456320e-06	4	2.841040e-03	7.383680e-06	7	false	GAMG	2.913980e-02	2.584130e-04	5	true
5.5844e-05    	smoothSolver	2.946090e-04	6.312650e-06	4	2.818110e-03	7.257740e-06	7	false	GAMG	2.835940e-02	2.512640e-04	5	true
5.71094e-05   	smoothSolver	2.918000e-04	6.227070e-06	4	2.803830e-03	7.220480e-06	7	false	GAMG	2.783780e-02	2.474070e-04	5	true
5.83784e-05   	smoothSolver	2.882630e-04	6.095200e-06	4	2.782020e-03	7.103390e-06	7	false	GAMG	2.712110e-02	2.363620e-04	5	true
5.96511e-05   	smoothSolver	2.849680e-04	5.967730e-06	4	2.762030e-03	6.990180e-06	7	false	GAMG	2.648990e-02	2.302890e-04	5	true
6.09275e-05   	smoothSolver	2.817860e-04	5.845810e-06	4	2.742410e-03	6.881580e-06	7	false	GAMG	2.586100e-02	2.233160e-04	5	true
6.22113e-05   	smoothSolver	2.795470e-04	5.778140e-06	4	2.731320e-03	6.858600e-06	7	false	GAMG	2.543080e-02	2.207960e-04	5	true
6.34989e-05   	smoothSolver	2.765400e-04	5.665780e-06	4	2.712190e-03	6.757340e-06	7	false	GAMG	2.484830e-02	2.110810e-04	5	true
6.47903e-05   	smoothSolver	2.737170e-04	5.556920e-06	4	2.694390e-03	6.659000e-06	7	false	GAMG	2.430180e-02	2.061190e-04	5	true
6.60856e-05   	smoothSolver	2.709770e-04	9.934410e-06	3	2.676930e-03	6.564390e-06	7	false	GAMG	4.249700e-02	2.570160e-04	6	true
6.73848e-05   	smoothSolver	2.635680e-04	9.911280e-06	3	2.606260e-03	6.510030e-06	7	false	GAMG	3.903580e-02	2.139150e-04	5	true
6.86878e-05   	smoothSolver	2.625350e-04	9.721900e-06	3	2.605510e-03	6.416990e-06	7	false	GAMG	3.741850e-02	2.807890e-04	5	true
6.99948e-05   	smoothSolver	2.599740e-04	9.580220e-06	3	2.587600e-03	6.333950e-06	7	false	GAMG	3.674760e-02	2.555750e-04	5	true
7.13058e-05   	smoothSolver	2.578950e-04	9.430930e-06	3	2.575070e-03	6.255940e-06	7	false	GAMG	3.583680e-02	2.539520e-04	5	true
7.26208e-05   	smoothSolver	2.558000e-04	9.290780e-06	3	2.561680e-03	6.176930e-06	7	false	GAMG	3.526240e-02	2.467360e-04	5	true
7.39358e-05   	smoothSolver	2.530220e-04	9.081010e-06	3	2.541170e-03	6.027420e-06	7	false	GAMG	3.429840e-02	2.365890e-04	5	true
7.52549e-05   	smoothSolver	2.511730e-04	8.948230e-06	3	2.529390e-03	5.954420e-06	7	false	GAMG	3.375620e-02	2.353880e-04	5	true
7.65781e-05   	smoothSolver	2.493150e-04	8.820950e-06	3	2.517120e-03	5.887210e-06	7	false	GAMG	3.310580e-02	2.288010e-04	5	true
7.79055e-05   	smoothSolver	2.475420e-04	8.697830e-06	3	2.505380e-03	9.946150e-06	6	false	GAMG	3.066530e-02	2.475680e-04	5	true
7.92328e-05   	smoothSolver	2.448330e-04	8.509820e-06	3	2.484350e-03	9.762010e-06	6	false	GAMG	3.028330e-02	2.224430e-04	5	true
8.05643e-05   	smoothSolver	2.432990e-04	8.393860e-06	3	2.474490e-03	9.648760e-06	6	false	GAMG	2.973310e-02	2.253780e-04	5	true
8.19001e-05   	smoothSolver	2.416560e-04	8.283220e-06	3	2.463520e-03	9.555080e-06	6	false	GAMG	2.918270e-02	2.185850e-04	5	true
8.32359e-05   	smoothSolver	2.393470e-04	8.109040e-06	3	2.445470e-03	9.343640e-06	6	false	GAMG	2.857700e-02	2.102020e-04	5	true
8.4576e-05    	smoothSolver	2.379020e-04	8.004140e-06	3	2.436300e-03	9.252330e-06	6	false	GAMG	2.806290e-02	2.097840e-04	5	true
8.59204e-05   	smoothSolver	2.364390e-04	7.905130e-06	3	2.426580e-03	9.162580e-06	6	false	GAMG	2.766940e-02	2.045170e-04	5	true
8.72648e-05   	smoothSolver	2.342770e-04	7.743140e-06	3	2.409530e-03	8.966170e-06	6	false	GAMG	2.701820e-02	1.964890e-04	5	true
8.86136e-05   	smoothSolver	2.329830e-04	7.650020e-06	3	2.401180e-03	8.880770e-06	6	false	GAMG	2.663300e-02	1.964750e-04	5	true
8.99624e-05   	smoothSolver	2.309000e-04	7.497380e-06	3	2.384720e-03	8.692660e-06	6	false	GAMG	2.603720e-02	1.876810e-04	5	true
9.13157e-05   	smoothSolver	2.297020e-04	7.410220e-06	3	2.377210e-03	8.613170e-06	6	false	GAMG	2.567390e-02	1.881280e-04	5	true
9.26734e-05   	smoothSolver	2.284650e-04	7.327530e-06	3	2.369060e-03	8.539170e-06	6	false	GAMG	2.527020e-02	1.835120e-04	5	true
9.40312e-05   	smoothSolver	2.265370e-04	7.184260e-06	3	2.353510e-03	8.359350e-06	6	false	GAMG	2.475680e-02	1.764660e-04	5	true
9.53935e-05   	smoothSolver	2.254580e-04	7.105040e-06	3	2.346610e-03	8.288250e-06	6	false	GAMG	2.448900e-02	1.769280e-04	5	true
9.67558e-05   	smoothSolver	2.236000e-04	6.968740e-06	3	2.331310e-03	8.116050e-06	6	false	GAMG	2.401320e-02	1.688920e-04	5	true
9.81227e-05   	smoothSolver	2.226110e-04	6.894490e-06	3	2.325010e-03	8.049460e-06	6	false	GAMG	2.356800e-02	1.697920e-04	5	true
9.94897e-05   	smoothSolver	2.208280e-04	6.764210e-06	3	2.310340e-03	7.883800e-06	6	false	GAMG	2.312510e-02	1.621800e-04	5	true
0.000100861   	smoothSolver	2.199030e-04	6.694720e-06	3	2.304510e-03	7.821610e-06	6	false	GAMG	2.279980e-02	1.631480e-04	5	true
