# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1.1919e-05    	smoothSolver	1.000000e+00	4.196040e-06	7	1.000000e+00	6.494860e-06	7	false	GAMG	1.000000e+00	3.976530e-03	8	true
1.9038e-05    	smoothSolver	1.351140e-01	8.221810e-06	3	2.291060e-01	2.024370e-06	4	false	GAMG	3.024710e-01	2.607450e-03	7	true
2.61622e-05   	smoothSolver	1.135700e-02	1.342070e-06	3	1.534650e-02	6.895720e-06	2	false	GAMG	4.871470e-01	3.060260e-03	5	true
3.33222e-05   	smoothSolver	2.493770e-03	5.382290e-06	2	3.903440e-03	4.734780e-06	2	false	GAMG	2.492770e-01	1.363860e-03	4	true
4.0508e-05    	smoothSolver	1.629210e-03	4.161470e-06	2	2.855160e-03	4.695360e-06	2	false	GAMG	1.598840e-01	8.391660e-04	2	true
4.7725e-05    	smoothSolver	1.424860e-03	3.506000e-06	2	2.744320e-03	4.606930e-06	2	false	GAMG	1.226910e-01	1.068550e-03	2	true
5.49735e-05   	smoothSolver	1.253510e-03	3.044320e-06	2	2.611950e-03	4.421010e-06	2	false	GAMG	1.003720e-01	5.865660e-04	3	true
6.22646e-05   	smoothSolver	1.125320e-03	2.711010e-06	2	2.509880e-03	4.248220e-06	2	false	GAMG	8.712680e-02	6.738810e-04	3	true
6.96042e-05   	smoothSolver	1.018250e-03	2.455300e-06	2	2.407800e-03	4.088650e-06	2	false	GAMG	7.737940e-02	6.849170e-04	3	true
7.69928e-05   	smoothSolver	9.295560e-04	2.244420e-06	2	2.313550e-03	3.939770e-06	2	false	GAMG	6.921150e-02	6.800830e-04	3	true
8.44314e-05   	smoothSolver	8.547580e-04	2.069050e-06	2	2.225920e-03	3.804710e-06	2	false	GAMG	6.220640e-02	3.570950e-04	4	true
9.19318e-05   	smoothSolver	7.930160e-04	1.934780e-06	2	2.150400e-03	3.708390e-06	2	false	GAMG	5.556500e-02	3.494360e-04	4	true
9.94895e-05   	smoothSolver	7.387130e-04	1.815760e-06	2	2.077840e-03	3.611800e-06	2	false	GAMG	4.967770e-02	3.273140e-04	4	true
0.000107111   	smoothSolver	6.922800e-04	1.718190e-06	2	2.015610e-03	3.535230e-06	2	false	GAMG	4.442880e-02	3.079500e-04	4	true
0.000114798   	smoothSolver	6.514900e-04	1.633970e-06	2	1.960270e-03	3.468260e-06	2	false	GAMG	4.015250e-02	2.914590e-04	4	true
0.000122551   	smoothSolver	6.154280e-04	1.561150e-06	2	1.909360e-03	3.411250e-06	2	false	GAMG	3.646420e-02	2.769250e-04	4	true
0.000130322   	smoothSolver	5.797200e-04	1.464920e-06	2	1.850810e-03	3.293920e-06	2	false	GAMG	3.306000e-02	2.603090e-04	4	true
0.000138106   	smoothSolver	5.476330e-04	1.376750e-06	2	1.795610e-03	3.185550e-06	2	false	GAMG	2.995350e-02	2.441710e-04	4	true
0.000145896   	smoothSolver	5.186050e-04	1.295250e-06	2	1.743300e-03	3.078380e-06	2	false	GAMG	2.734830e-02	2.278260e-04	4	true
0.000153698   	smoothSolver	4.929950e-04	1.226420e-06	2	1.696280e-03	2.988660e-06	2	false	GAMG	2.508180e-02	2.131370e-04	4	true
0.000161513   	smoothSolver	4.699460e-04	1.164810e-06	2	1.652730e-03	2.905350e-06	2	false	GAMG	2.289200e-02	1.986690e-04	4	true
0.000169339   	smoothSolver	4.491450e-04	1.109210e-06	2	1.612650e-03	2.828220e-06	2	false	GAMG	2.117370e-02	1.854480e-04	4	true
0.000177185   	smoothSolver	4.306250e-04	1.061880e-06	2	1.577020e-03	2.766210e-06	2	false	GAMG	1.978220e-02	1.731540e-04	4	true
0.000185043   	smoothSolver	4.134490e-04	1.015850e-06	2	1.543530e-03	2.702650e-06	2	false	GAMG	1.856290e-02	1.617980e-04	4	true
0.000192921   	smoothSolver	3.981180e-04	9.765160e-07	2	1.513820e-03	2.651120e-06	2	false	GAMG	1.772480e-02	1.513440e-04	4	true
0.00020081    	smoothSolver	3.837990e-04	9.378060e-07	2	1.486260e-03	2.595450e-06	2	false	GAMG	1.692540e-02	1.415930e-04	4	true
0.000208719   	smoothSolver	3.709900e-04	9.049600e-07	2	1.462890e-03	2.550950e-06	2	false	GAMG	1.616000e-02	1.331380e-04	4	true
0.000216648   	smoothSolver	3.592410e-04	8.749820e-07	2	1.441200e-03	2.509480e-06	2	false	GAMG	1.572820e-02	1.249020e-04	4	true
0.000224595   	smoothSolver	3.484790e-04	9.976400e-06	1	1.421070e-03	2.471080e-06	2	false	GAMG	1.503200e-02	1.239510e-04	5	true
0.000232562   	smoothSolver	3.362210e-04	9.691750e-06	1	1.391200e-03	2.427850e-06	2	false	GAMG	1.417360e-02	9.665700e-05	5	true
0.000240548   	smoothSolver	3.275160e-04	9.431610e-06	1	1.374800e-03	2.396490e-06	2	false	GAMG	1.386920e-02	9.503940e-05	5	true
0.000248555   	smoothSolver	3.192890e-04	9.188350e-06	1	1.358980e-03	2.372620e-06	2	false	GAMG	1.327360e-02	9.131270e-05	5	true
0.00025658    	smoothSolver	3.116340e-04	8.960030e-06	1	1.344460e-03	2.351380e-06	2	false	GAMG	1.287040e-02	8.828470e-05	5	true
0.000264626   	smoothSolver	3.044930e-04	8.745880e-06	1	1.330900e-03	2.332200e-06	2	false	GAMG	1.262150e-02	8.559520e-05	5	true
0.000272692   	smoothSolver	2.978260e-04	8.545590e-06	1	1.318270e-03	2.314570e-06	2	false	GAMG	1.214350e-02	8.263250e-05	5	true
0.000280778   	smoothSolver	2.915890e-04	8.357250e-06	1	1.306470e-03	2.297970e-06	2	false	GAMG	1.179430e-02	7.987020e-05	5	true
0.000288891   	smoothSolver	2.859860e-04	8.196490e-06	1	1.296520e-03	2.289850e-06	2	false	GAMG	1.165430e-02	7.787440e-05	5	true
0.000297024   	smoothSolver	2.804940e-04	8.029490e-06	1	1.286130e-03	2.277000e-06	2	false	GAMG	1.130910e-02	7.523240e-05	5	true
0.000305178   	smoothSolver	2.753460e-04	7.872220e-06	1	1.276500e-03	2.265370e-06	2	false	GAMG	1.105180e-02	7.297960e-05	5	true
0.000313352   	smoothSolver	2.705110e-04	7.724060e-06	1	1.267530e-03	2.254110e-06	2	false	GAMG	1.074740e-02	7.094360e-05	5	true
0.000321547   	smoothSolver	2.659600e-04	7.585720e-06	1	1.259200e-03	2.243620e-06	2	false	GAMG	1.057980e-02	6.916580e-05	5	true
0.000329763   	smoothSolver	2.616760e-04	7.456520e-06	1	1.251760e-03	2.233670e-06	2	false	GAMG	1.026710e-02	6.703860e-05	5	true
0.000338      	smoothSolver	2.576440e-04	7.335000e-06	1	1.245810e-03	2.224540e-06	2	false	GAMG	1.022660e-02	6.525130e-05	5	true
0.000346258   	smoothSolver	2.538330e-04	7.220080e-06	1	1.240360e-03	2.215820e-06	2	false	GAMG	1.018750e-02	6.371880e-05	5	true
0.000354538   	smoothSolver	2.502340e-04	7.111910e-06	1	1.235350e-03	2.207510e-06	2	false	GAMG	9.907770e-03	6.215440e-05	5	true
0.000362838   	smoothSolver	2.468350e-04	7.010830e-06	1	1.230690e-03	2.199410e-06	2	false	GAMG	9.578900e-03	6.056250e-05	5	true
0.000371161   	smoothSolver	2.436240e-04	6.917270e-06	1	1.226380e-03	2.193170e-06	2	false	GAMG	9.417960e-03	5.906350e-05	5	true
0.000379505   	smoothSolver	2.405890e-04	6.830370e-06	1	1.222400e-03	2.188800e-06	2	false	GAMG	9.270290e-03	5.772820e-05	5	true
0.00038787    	smoothSolver	2.377180e-04	6.747610e-06	1	1.218740e-03	2.186740e-06	2	false	GAMG	9.216320e-03	5.661470e-05	5	true
0.000396258   	smoothSolver	2.349990e-04	6.668900e-06	1	1.215410e-03	2.185350e-06	2	false	GAMG	9.035530e-03	5.531000e-05	5	true
0.000404667   	smoothSolver	2.324270e-04	6.593640e-06	1	1.212390e-03	2.184210e-06	2	false	GAMG	8.939390e-03	5.414110e-05	5	true
0.000413092   	smoothSolver	2.297920e-04	6.508160e-06	1	1.208590e-03	2.176690e-06	2	false	GAMG	8.749470e-03	5.282240e-05	5	true
0.000421538   	smoothSolver	2.274920e-04	6.439610e-06	1	1.206190e-03	2.177570e-06	2	false	GAMG	8.682790e-03	5.181060e-05	5	true
0.000430007   	smoothSolver	2.253150e-04	6.374070e-06	1	1.204000e-03	2.178460e-06	2	false	GAMG	8.663630e-03	5.095420e-05	5	true
0.000438491   	smoothSolver	2.230560e-04	6.297740e-06	1	1.201000e-03	2.172530e-06	2	false	GAMG	8.438070e-03	4.975550e-05	5	true
0.000446983   	smoothSolver	2.207290e-04	6.211030e-06	1	1.197180e-03	2.159380e-06	2	false	GAMG	8.307290e-03	4.852010e-05	5	true
0.000455482   	smoothSolver	2.185180e-04	6.127180e-06	1	1.193660e-03	2.146800e-06	2	false	GAMG	8.179260e-03	4.745290e-05	5	true
0.000463989   	smoothSolver	2.164020e-04	6.046110e-06	1	1.190380e-03	2.134150e-06	2	false	GAMG	8.114180e-03	4.646050e-05	5	true
0.000472503   	smoothSolver	2.143850e-04	5.967940e-06	1	1.187580e-03	2.121350e-06	2	false	GAMG	8.086340e-03	4.557440e-05	5	true
0.000481025   	smoothSolver	2.124450e-04	5.891820e-06	1	1.185260e-03	2.108610e-06	2	false	GAMG	8.013380e-03	4.469900e-05	5	true
0.000489555   	smoothSolver	2.105870e-04	5.818460e-06	1	1.183730e-03	2.096110e-06	2	false	GAMG	7.873440e-03	4.374940e-05	5	true
0.000498092   	smoothSolver	2.087990e-04	5.747540e-06	1	1.182590e-03	2.084520e-06	2	false	GAMG	7.704960e-03	4.290410e-05	5	true
0.000506637   	smoothSolver	2.070890e-04	5.679180e-06	1	1.181540e-03	2.073020e-06	2	false	GAMG	7.614990e-03	4.205930e-05	5	true
0.000515189   	smoothSolver	2.054420e-04	5.612990e-06	1	1.180630e-03	2.062150e-06	2	false	GAMG	7.502790e-03	4.130860e-05	5	true
0.000523749   	smoothSolver	2.038610e-04	5.548930e-06	1	1.179800e-03	2.051570e-06	2	false	GAMG	7.492410e-03	4.068900e-05	5	true
0.000532318   	smoothSolver	2.023420e-04	5.487020e-06	1	1.179040e-03	2.041300e-06	2	false	GAMG	7.383430e-03	3.986250e-05	5	true
0.000540893   	smoothSolver	2.008840e-04	5.427070e-06	1	1.178390e-03	2.032430e-06	2	false	GAMG	7.345400e-03	3.938370e-05	5	true
0.000549477   	smoothSolver	1.994790e-04	5.369190e-06	1	1.177830e-03	2.025250e-06	2	false	GAMG	7.268490e-03	3.875400e-05	5	true
0.000558068   	smoothSolver	1.981270e-04	5.314390e-06	1	1.177320e-03	2.018210e-06	2	false	GAMG	7.212190e-03	3.809460e-05	5	true
0.000566667   	smoothSolver	1.968260e-04	5.261640e-06	1	1.176890e-03	2.011530e-06	2	false	GAMG	7.110410e-03	3.758630e-05	5	true
0.000575275   	smoothSolver	1.955710e-04	5.210530e-06	1	1.176520e-03	2.004650e-06	2	false	GAMG	7.080040e-03	3.700600e-05	5	true
0.000583889   	smoothSolver	1.943650e-04	5.161130e-06	1	1.176170e-03	1.997730e-06	2	false	GAMG	7.078380e-03	3.654340e-05	5	true
0.000592512   	smoothSolver	1.932000e-04	5.113350e-06	1	1.175900e-03	1.990850e-06	2	false	GAMG	7.161140e-03	3.624280e-05	5	true
0.000601143   	smoothSolver	1.920740e-04	5.066790e-06	1	1.175740e-03	1.984040e-06	2	false	GAMG	7.023950e-03	3.582740e-05	5	true
0.000609774   	smoothSolver	1.908130e-04	5.010510e-06	1	1.174530e-03	1.970480e-06	2	false	GAMG	6.867320e-03	3.516930e-05	5	true
