# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.00011999    	smoothSolver	1.000000e+00	1.275650e-07	3	1.000000e+00	1.834270e-07	3	false	GAMG	1.000000e+00	4.076790e-03	8	true
0.000263965   	smoothSolver	2.517960e-01	1.269700e-06	2	3.748970e-01	2.533790e-06	2	false	GAMG	2.808240e-01	1.074760e-03	8	true
0.000436705   	smoothSolver	6.911510e-03	1.662400e-07	2	8.873200e-03	2.310400e-07	2	false	GAMG	4.708690e-01	2.325420e-03	3	true
0.000643992   	smoothSolver	1.845470e-03	1.723650e-07	2	2.116610e-03	8.878210e-06	1	false	GAMG	4.217260e-01	2.675030e-03	2	true
0.000892676   	smoothSolver	1.484370e-03	2.266070e-07	2	1.481130e-03	5.803190e-06	1	false	GAMG	2.152820e-01	5.555230e-04	2	true
0.00119101    	smoothSolver	1.616110e-03	4.183230e-07	2	1.597770e-03	8.992840e-06	1	false	GAMG	1.720870e-01	4.651790e-04	2	true
0.00154909    	smoothSolver	1.838980e-03	7.923820e-07	2	1.797390e-03	4.214020e-07	2	false	GAMG	1.424390e-01	1.219080e-03	1	true
0.00197584    	smoothSolver	2.143890e-03	1.483850e-06	2	2.089280e-03	8.649100e-07	2	false	GAMG	1.214090e-01	3.333540e-04	2	true
0.00247139    	smoothSolver	2.517600e-03	2.547630e-06	2	2.357420e-03	1.530560e-06	2	false	GAMG	1.078060e-01	5.118260e-04	2	true
0.00303612    	smoothSolver	2.912320e-03	4.094770e-06	2	2.587620e-03	2.440470e-06	2	false	GAMG	9.975740e-02	6.771550e-04	2	true
0.00367001    	smoothSolver	2.995220e-03	5.591760e-06	2	2.781690e-03	3.572960e-06	2	false	GAMG	9.423120e-02	8.470380e-04	2	true
0.0043632     	smoothSolver	2.733540e-03	6.318230e-06	2	2.899740e-03	4.663080e-06	2	false	GAMG	8.995310e-02	5.174620e-04	3	true
0.00505932    	smoothSolver	2.309520e-03	5.290060e-06	2	2.776210e-03	4.421410e-06	2	false	GAMG	8.057780e-02	5.656170e-04	3	true
0.00575938    	smoothSolver	1.989250e-03	4.542900e-06	2	2.659370e-03	4.228280e-06	2	false	GAMG	7.701620e-02	5.897520e-04	3	true
0.00646343    	smoothSolver	1.740530e-03	3.966590e-06	2	2.551210e-03	4.063460e-06	2	false	GAMG	7.313370e-02	6.059060e-04	3	true
0.00717253    	smoothSolver	1.544980e-03	3.531640e-06	2	2.454420e-03	3.933110e-06	2	false	GAMG	6.887330e-02	6.143320e-04	3	true
0.00788677    	smoothSolver	1.386240e-03	3.184640e-06	2	2.364480e-03	3.815050e-06	2	false	GAMG	6.436840e-02	6.086570e-04	3	true
0.00860624    	smoothSolver	1.255530e-03	2.901890e-06	2	2.280950e-03	3.708490e-06	2	false	GAMG	5.918180e-02	5.907820e-04	3	true
0.00933208    	smoothSolver	1.148390e-03	2.682100e-06	2	2.206740e-03	3.630630e-06	2	false	GAMG	5.423160e-02	3.085890e-04	4	true
0.0100633     	smoothSolver	1.057120e-03	2.484410e-06	2	2.136620e-03	3.542850e-06	2	false	GAMG	4.922080e-02	3.012020e-04	4	true
0.0108012     	smoothSolver	9.795060e-04	2.329440e-06	2	2.072800e-03	3.490850e-06	2	false	GAMG	4.458510e-02	2.866930e-04	4	true
0.0115458     	smoothSolver	9.123640e-04	2.197430e-06	2	2.014070e-03	3.446210e-06	2	false	GAMG	4.010290e-02	2.733430e-04	4	true
0.0122961     	smoothSolver	8.525290e-04	2.072870e-06	2	1.961410e-03	3.390040e-06	2	false	GAMG	3.632730e-02	2.591570e-04	4	true
0.0130476     	smoothSolver	7.951780e-04	1.922100e-06	2	1.903000e-03	3.265490e-06	2	false	GAMG	3.272760e-02	2.426360e-04	4	true
