# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	hole	6.159523e-02	1.096257e+00	5.859550e-01
0.02          	hole	6.949670e-02	1.064480e+00	5.405072e-01
0.03          	hole	5.310776e-02	1.052954e+00	5.242068e-01
0.04          	hole	4.425717e-02	1.047846e+00	5.184582e-01
0.05          	hole	4.095633e-02	1.045280e+00	5.163036e-01
0.06          	hole	3.994706e-02	1.043884e+00	5.154016e-01
0.07          	hole	3.474386e-02	1.043140e+00	5.149396e-01
0.08          	hole	3.794452e-02	1.043305e+00	5.149664e-01
0.09          	hole	2.388188e-02	1.053043e+00	5.198510e-01
0.1           	hole	3.998286e-02	1.082397e+00	5.388606e-01
0.11          	hole	4.384135e-02	1.107290e+00	5.587042e-01
0.12          	hole	2.259129e-02	1.141852e+00	5.930183e-01
0.13          	hole	2.769168e-02	1.174512e+00	6.262633e-01
0.14          	hole	4.630532e-02	1.191962e+00	6.427128e-01
0.15          	hole	6.422706e-02	1.195969e+00	6.461157e-01
0.16          	hole	4.172498e-02	1.195023e+00	6.447201e-01
0.17          	hole	5.020797e-02	1.192387e+00	6.416282e-01
0.18          	hole	4.679307e-02	1.188896e+00	6.373795e-01
0.19          	hole	5.301611e-02	1.184750e+00	6.319760e-01
0.2           	hole	2.738612e-02	1.180058e+00	6.251606e-01
0.21          	hole	5.456699e-02	1.174898e+00	6.166410e-01
0.22          	hole	3.769632e-02	1.169353e+00	6.040066e-01
0.23          	hole	3.468637e-02	1.163541e+00	6.001511e-01
0.24          	hole	3.044038e-02	1.157496e+00	6.013328e-01
0.25          	hole	3.396480e-02	1.151331e+00	6.053921e-01
0.26          	hole	3.784835e-02	1.156590e+00	6.097946e-01
0.27          	hole	4.879536e-02	1.162540e+00	6.146004e-01
0.28          	hole	2.195125e-02	1.168270e+00	6.194198e-01
0.29          	hole	4.222191e-02	1.173706e+00	6.243153e-01
0.3           	hole	2.590106e-02	1.178785e+00	6.290977e-01
